status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.source,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.subsection_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.slideshow_credits,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time,response.docs.print_section,response.docs.print_page
OK,Copyright (c) 2020 The New York Times Company. All Rights Reserved.,"Can Italians talk without using their hands? Gestures that insult, beg and swear offer a window into Roman culture.",https://www.nytimes.com/video/world/europe/100000002309793/the-italian-gesture-.html,"Can Italians talk without using their hands? Gestures that insult, beg and swear offer a window into Roman culture.","Can Italians talk without using their hands? Gestures that insult, beg and swear offer a window into Roman culture.",The New York Times,2013-07-01T00:33:04+0000,multimedia,Foreign,World,Europe,Video,nyt://video/27469531-0cc2-51ae-aa12-d4e071728750,0,nyt://video/27469531-0cc2-51ae-aa12-d4e071728750,NA,Italian Hand Gestures: A Short History,NA,NA,NA,NA,NA,NA,Emiland Guillerme and Rachel Donadio,NA,518,0,29,NA,NA
OK,Copyright (c) 2020 The New York Times Company. All Rights Reserved.,"A look at the week in sports, from the United States swimming championships to title celebrations in Miami and Chicago.",https://www.nytimes.com/slideshow/2013/06/30/sports/Week-In-Sports.html,"A look at the week in sports, from the United States swimming championships to title celebrations in Miami and Chicago.","A look at the week in sports, from the United States swimming championships to title celebrations in Miami and Chicago.",The New York Times,2013-07-01T03:59:23+0000,multimedia,Sports,Sports,NA,Slideshow,nyt://slideshow/6977f7a4-c7d4-5855-8dcf-4cc1640220ff,0,nyt://slideshow/6977f7a4-c7d4-5855-8dcf-4cc1640220ff,Juan Carlos Hidalgo/European Pressphoto Agency,A Week in Pictures,NA,NA,NA,NA,NA,NA,NA,NA,518,0,29,NA,NA
OK,Copyright (c) 2020 The New York Times Company. All Rights Reserved.,"Raf Simons conceived the collection as four loosely aligned geographic groups: Europe, Asia, the Americas and Africa. Each group expressed a central idea.",https://www.nytimes.com/slideshow/2013/07/01/fashion/dior_spring2014.html,"Raf Simons conceived the collection as four loosely aligned geographic groups: Europe, Asia, the Americas and Africa. Each group expressed a central idea.","Raf Simons conceived the collection as four loosely aligned geographic groups: Europe, Asia, the Americas and Africa. Each group expressed a central idea.",The New York Times,2013-07-01T16:09:04+0000,multimedia,Fashion & Style,Fashion & Style,NA,Slideshow,nyt://slideshow/211aca86-c18d-5c32-a3db-a03821d8a660,0,nyt://slideshow/211aca86-c18d-5c32-a3db-a03821d8a660,Nowfashion.com,Dior Couture,NA,NA,NA,NA,NA,NA,NA,NA,518,0,29,NA,NA
OK,Copyright (c) 2020 The New York Times Company. All Rights Reserved.,"President Obama arrived in Tanzania on Monday, greeted by cheering throngs much larger and louder than those he saw in Senegal and South Africa.",https://www.nytimes.com/slideshow/2013/07/01/world/africa/20130702-PREXY.html,"President Obama arrived in Tanzania on Monday, greeted by cheering throngs much larger and louder than those he saw in Senegal and South Africa.","President Obama arrived in Tanzania on Monday, greeted by cheering throngs much larger and louder than those he saw in Senegal and South Africa.",The New York Times,2013-07-01T21:09:27+0000,multimedia,World,World,Africa,Slideshow,nyt://slideshow/8a4a47ed-aca0-59e6-87d0-9aec9a338888,0,nyt://slideshow/8a4a47ed-aca0-59e6-87d0-9aec9a338888,Doug Mills/The New York Times,A Warm Welcome for Obama in Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,518,0,29,NA,NA
OK,Copyright (c) 2020 The New York Times Company. All Rights Reserved.,"Much of the area is in a historic district, and the neighborhood is known for ethnic diversity.",https://www.nytimes.com/slideshow/2013/07/07/realestate/20130707-LIVING.html,"Much of the area is in a historic district, and the neighborhood is known for ethnic diversity.","Much of the area is in a historic district, and the neighborhood is known for ethnic diversity.",The New York Times,2013-07-02T20:18:47+0000,multimedia,Real Estate,Real Estate,NA,Slideshow,nyt://slideshow/b766d4de-8b26-5054-b9af-fe6ed433448e,0,nyt://slideshow/b766d4de-8b26-5054-b9af-fe6ed433448e,Jabin Botsford/The New York Times,Living in Clinton HIll,NA,NA,NA,NA,NA,NA,NA,NA,518,0,29,NA,NA
OK,Copyright (c) 2020 The New York Times Company. All Rights Reserved.,Couture,https://www.nytimes.com/slideshow/2013/07/02/fashion/armaniprive_fall2013.html,Couture,Couture,The New York Times,2013-07-02T18:15:25+0000,multimedia,Fashion & Style,Fashion & Style,NA,Slideshow,nyt://slideshow/957beb35-fb65-5f2c-a650-b485235fc1a2,0,nyt://slideshow/957beb35-fb65-5f2c-a650-b485235fc1a2,Nowfashion.com,Giorgio Armani Prive,NA,NA,NA,NA,NA,NA,NA,NA,518,0,29,NA,NA
OK,Copyright (c) 2020 The New York Times Company. All Rights Reserved.,Scenes from the couture fashion week photo diary of Schohaja.,https://json8.nytimes.com/slideshow/2013/07/02/t-magazine/the-scene-paris-couture-fashion-week-christian-dior.html,Scenes from the couture fashion week photo diary of Schohaja.,Scenes from the couture fashion week photo diary of Schohaja.,NA,2013-07-02T20:54:24+0000,multimedia,NA,NA,NA,Slideshow,nyt://slideshow/1ee2995a-de01-5d5c-a776-d39b6d648378,0,nyt://slideshow/1ee2995a-de01-5d5c-a776-d39b6d648378,NA,The Scene | Paris Couture Fashion Week: Christian Dior,NA,NA,NA,NA,NA,NA,NA,NA,518,0,29,NA,NA
OK,Copyright (c) 2020 The New York Times Company. All Rights Reserved.,Metropolitan Diary: A neighbor says he helps nourish the birds in Riverside Park to keep a promise to a friend.,https://cityroom.blogs.nytimes.com/2013/07/01/feeding-the-pigeons-in-memoriam/,Metropolitan Diary: A neighbor says he helps nourish the birds in Riverside Park to keep a promise to a friend., Dear Diary:,The New York Times,2013-07-01T06:00:15+0000,article,,New York,NA,News,nyt://article/5001f285-25e4-5867-8f08-197b1b3d0478,162,nyt://article/5001f285-25e4-5867-8f08-197b1b3d0478,NA,"Feeding the Pigeons, in Memoriam",City Room,NA,NA,NA,NA,NA,By Marion Harris,NA,518,0,29,NA,NA
OK,Copyright (c) 2020 The New York Times Company. All Rights Reserved.,"Bruce Feiler, author of “The Secrets of Happy Families,” offers 5 video tips for a happier family vacation.",https://parenting.blogs.nytimes.com/2013/07/02/5-secrets-of-happy-family-vacations/,"Bruce Feiler, author of “The Secrets of Happy Families,” offers 5 video tips for a happier family vacation.","Bruce Feiler, author of “The Secrets of Happy Families,” offers 5 video tips for a happier family vacation. ",The New York Times,2013-07-02T20:06:12+0000,article,,Style,NA,News,nyt://article/c6cc4282-1251-538c-ba65-43c78c60907a,19,nyt://article/c6cc4282-1251-538c-ba65-43c78c60907a,NA,5 Secrets of Happy Family Vacations,Motherlode,NA,NA,NA,NA,NA,By Bruce Feiler,NA,518,0,29,NA,NA
OK,Copyright (c) 2020 The New York Times Company. All Rights Reserved.,Was Confederate Gen. Richard S. Ewell responsible for losing Gettysburg?,https://opinionator.blogs.nytimes.com/2013/07/02/general-ewells-dilemma/,Was Confederate Gen. Richard S. Ewell responsible for losing Gettysburg?,"Gen. Richard S. Ewell of the Confederate Army was frustrated and angry on the afternoon of July 1, 1863, the first day of the Battle of Gettysburg. The cause of his grief was Robert E. Lee, who had just issued a confusing order that forced Ewell to reconsider whether he should carry out an important attack. What he did next may have arguably decided the battle, and certainly became one of the most controversial series of events of the entire war.",The New York Times,2013-07-02T15:39:48+0000,article,,Opinion,NA,News,nyt://article/c74d4088-9bc3-53af-9760-d4ab1f3c3608,2607,nyt://article/c74d4088-9bc3-53af-9760-d4ab1f3c3608,NA,General Ewell’s Dilemma,Disunion,NA,NA,NA,NA,NA,By Terry L. Jones,NA,518,0,29,NA,NA
